Town Name,Web Link,Distance Miles,Distance KM,Precise Drive time and Directions URL,Approx Drive miles,Approx Drive Time,Assumed Average MPH,Total Minutes,Region,Country,Population,Direction,Latitude,Longitude,Date
Chaumont,https://www.distantias.com/towns-radius-chaumont-united_states.htm,55.23,88.8838482,https://www.distantias.com/distance-from-smiths_falls_canada-to-chaumont-united_states.htm,66.33,1 hour(s) and 1 minutes,65,61.2, New York,United States,1856,SW,44.1034,-76.1082,2011
Long Sault,https://www.distantias.com/towns-radius-long_sault-canada.htm,55.31,89.0125954,https://www.distantias.com/distance-from-smiths_falls_canada-to-long_sault-canada.htm,66.43,1 hour(s) and 1 minutes,65,61.3, Ontario,Canada,not available,NE,45.0333,-74.9,2011
Edwards,https://www.distantias.com/towns-radius-edwards-united_states.htm,55.34,89.0608756,https://www.distantias.com/distance-from-smiths_falls_canada-to-edwards-united_states.htm,66.46,1 hour(s) and 1 minutes,65,61.4, New York,United States,1101,SE,44.3041,-75.2691,2018
Buckingham,https://www.distantias.com/towns-radius-buckingham-canada.htm,55.42,89.1896228,https://www.distantias.com/distance-from-smiths_falls_canada-to-buckingham-canada.htm,66.56,1 hour(s) and 1 minutes,65,61.4, Quebec,Canada,23589,NE,45.5833,-75.4167,2011
Potsdam,https://www.distantias.com/towns-radius-potsdam-united_states.htm,56.11,90.3000674,https://www.distantias.com/distance-from-smiths_falls_canada-to-potsdam-united_states.htm,67.39,1 hour(s) and 2 minutes,65,62.2, New York,United States,15322,SE,44.6609,-74.9258,2018
Tamworth,https://www.distantias.com/towns-radius-tamworth-canada.htm,56.29,90.5897486,https://www.distantias.com/distance-from-smiths_falls_canada-to-tamworth-canada.htm,67.6,1 hour(s) and 2 minutes,65,62.4, Ontario,Canada,not available,SW,44.4667,-76.9833,2011
Rockland,https://www.distantias.com/towns-radius-rockland-canada.htm,56.35,90.686309,https://www.distantias.com/distance-from-smiths_falls_canada-to-rockland-canada.htm,67.68,1 hour(s) and 2 minutes,65,62.5, Ontario,Canada,11099,NE,45.5333,-75.2833,2011
Cape Vincent,https://www.distantias.com/towns-radius-cape_vincent-united_states.htm,56.36,90.7024024,https://www.distantias.com/distance-from-smiths_falls_canada-to-cape_vincent-united_states.htm,67.69,1 hour(s) and 2 minutes,65,62.5, New York,United States,2743,SW,44.1039,-76.2641,2018
Evans Mills,https://www.distantias.com/towns-radius-evans_mills-united_states.htm,56.53,90.9759902,https://www.distantias.com/distance-from-smiths_falls_canada-to-evans_mills-united_states.htm,67.89,1 hour(s) and 3 minutes,65,62.7, New York,United States,3206,SE,44.0945,-75.8179,2011
West Stockholm,https://www.distantias.com/towns-radius-west_stockholm-united_states.htm,56.64,91.1530176,https://www.distantias.com/distance-from-smiths_falls_canada-to-west_stockholm-united_states.htm,68.02,1 hour(s) and 3 minutes,65,62.8, New York,United States,not available,SE,44.6956,-74.9,2011
Kaladar,https://www.distantias.com/towns-radius-kaladar-canada.htm,56.77,91.3622318,https://www.distantias.com/distance-from-smiths_falls_canada-to-kaladar-canada.htm,68.18,1 hour(s) and 3 minutes,65,62.9, Ontario,Canada,not available,SW,44.65,-77.1167,2011
Dacre,https://www.distantias.com/towns-radius-dacre-canada.htm,56.94,91.6358196,https://www.distantias.com/distance-from-smiths_falls_canada-to-dacre-canada.htm,68.38,1 hour(s) and 3 minutes,65,63.1, Ontario,Canada,not available,NW,45.3667,-76.9833,2011
Newburgh,https://www.distantias.com/towns-radius-newburgh-canada.htm,57.43,92.4243962,https://www.distantias.com/distance-from-smiths_falls_canada-to-newburgh-canada.htm,68.97,1 hour(s) and 4 minutes,65,63.7, Ontario,Canada,not available,SW,44.3333,-76.8667,2011
Haley Station,https://www.distantias.com/towns-radius-haley_station-canada.htm,58.64,94.3716976,https://www.distantias.com/distance-from-smiths_falls_canada-to-haley_station-canada.htm,70.43,1 hour(s) and 5 minutes,65,65, Ontario,Canada,not available,NW,45.5667,-76.7667,2011
Khartum,https://www.distantias.com/towns-radius-khartum-canada.htm,58.73,94.5165382,https://www.distantias.com/distance-from-smiths_falls_canada-to-khartum-canada.htm,70.53,1 hour(s) and 5 minutes,65,65.1, Ontario,Canada,not available,NW,45.25,-77.1167,2011
Winthrop,https://www.distantias.com/towns-radius-winthrop-united_states.htm,59.32,95.4660488,https://www.distantias.com/distance-from-smiths_falls_canada-to-winthrop-united_states.htm,71.24,1 hour(s) and 6 minutes,65,65.8, New York,United States,1587,SE,44.7578,-74.8246,2011
Pendleton,https://www.distantias.com/towns-radius-pendleton-canada.htm,59.71,96.0936914,https://www.distantias.com/distance-from-smiths_falls_canada-to-pendleton-canada.htm,71.71,1 hour(s) and 6 minutes,65,66.2, Ontario,Canada,not available,NE,45.45,-75.0667,2011
Limerick,https://www.distantias.com/towns-radius-limerick-united_states.htm,60.29,97.0271086,https://www.distantias.com/distance-from-smiths_falls_canada-to-limerick-united_states.htm,72.41,1 hour(s) and 7 minutes,65,66.8, New York,United States,not available,SW,44.0279,-76.051,2011
Millhaven,https://www.distantias.com/towns-radius-millhaven-canada.htm,60.49,97.3489766,https://www.distantias.com/distance-from-smiths_falls_canada-to-millhaven-canada.htm,72.65,1 hour(s) and 7 minutes,65,67.1, Ontario,Canada,not available,SW,44.2,-76.75,2011
Thurso,https://www.distantias.com/towns-radius-thurso-canada.htm,60.54,97.4294436,https://www.distantias.com/distance-from-smiths_falls_canada-to-thurso-canada.htm,72.71,1 hour(s) and 7 minutes,65,67.1, Quebec,Canada,2455,NE,45.5833,-75.2333,2011
Russell,https://www.distantias.com/towns-radius-russell-united_states.htm,60.84,97.9122456,https://www.distantias.com/distance-from-smiths_falls_canada-to-russell-united_states.htm,73.07,1 hour(s) and 7 minutes,65,67.5, New York,United States,1774,SE,44.3447,-75.0613,2018
Calcium,https://www.distantias.com/towns-radius-calcium-united_states.htm,60.87,97.9605258,https://www.distantias.com/distance-from-smiths_falls_canada-to-calcium-united_states.htm,73.1,1 hour(s) and 7 minutes,65,67.5, New York,United States,1340,SE,44.0269,-75.8534,2011
Three Mile Bay,https://www.distantias.com/towns-radius-three_mile_bay-united_states.htm,60.93,98.0570862,https://www.distantias.com/distance-from-smiths_falls_canada-to-three_mile_bay-united_states.htm,73.18,1 hour(s) and 8 minutes,65,67.6, New York,United States,496,SW,44.0399,-76.2867,2011
Roblin,https://www.distantias.com/towns-radius-roblin-canada.htm,60.94,98.0731796,https://www.distantias.com/distance-from-smiths_falls_canada-to-roblin-canada.htm,73.19,1 hour(s) and 8 minutes,65,67.6, Ontario,Canada,not available,SW,44.3833,-77.0167,2011
Fine,https://www.distantias.com/towns-radius-fine-united_states.htm,61.25,98.572075,https://www.distantias.com/distance-from-smiths_falls_canada-to-fine-united_states.htm,73.56,1 hour(s) and 8 minutes,65,67.9, New York,United States,1450,SE,44.2825,-75.1284,2018
Dexter,https://www.distantias.com/towns-radius-dexter-united_states.htm,61.31,98.6686354,https://www.distantias.com/distance-from-smiths_falls_canada-to-dexter-united_states.htm,73.63,1 hour(s) and 8 minutes,65,68, New York,United States,3229,SW,44.0145,-76.0944,2011
Fort Drum,https://www.distantias.com/towns-radius-fort_drum-united_states.htm,61.34,98.7169156,https://www.distantias.com/distance-from-smiths_falls_canada-to-fort_drum-united_states.htm,73.67,1 hour(s) and 8 minutes,65,68, New York,United States,2867,SE,44.0325,-75.7545,2011
Bryson,https://www.distantias.com/towns-radius-bryson-canada.htm,61.39,98.7973826,https://www.distantias.com/distance-from-smiths_falls_canada-to-bryson-canada.htm,73.73,1 hour(s) and 8 minutes,65,68.1, Quebec,Canada,not available,NW,45.6833,-76.6167,2011
Great Bend,https://www.distantias.com/towns-radius-great_bend-united_states.htm,61.56,99.0709704,https://www.distantias.com/distance-from-smiths_falls_canada-to-great_bend-united_states.htm,73.93,1 hour(s) and 8 minutes,65,68.3, New York,United States,843,SE,44.0347,-75.7215,2011
Brownville,https://www.distantias.com/towns-radius-brownville-united_states.htm,61.74,99.3606516,https://www.distantias.com/distance-from-smiths_falls_canada-to-brownville-united_states.htm,74.15,1 hour(s) and 8 minutes,65,68.5, New York,United States,6077,SE,44.0068,-75.9862,2018
Bath,https://www.distantias.com/towns-radius-bath-canada.htm,61.92,99.6503328,https://www.distantias.com/distance-from-smiths_falls_canada-to-bath-canada.htm,74.37,1 hour(s) and 9 minutes,65,68.7, Ontario,Canada,1042,SW,44.1833,-76.7667,2011
